,bomtitle,bomlink,year,genre_text,Genre_0,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Genre_7
122,The Next Best Thing,https://www.boxofficemojo.com/release/rl1063749121/?ref_=bo_yld_table_123,2000,"['Comedy', 'Drama', 'Romance']",Comedy,Drama,Romance,,,,,
123,Man on the Moon,https://www.boxofficemojo.com/release/rl560170497/?ref_=bo_yld_table_124,2000,"['Biography', 'Comedy', 'Drama']",Biography,Comedy,Drama,,,,,
124,Snow Falling on Cedars,https://www.boxofficemojo.com/release/rl108037633/?ref_=bo_yld_table_125,2000,"['Drama', 'Mystery', 'Romance', 'Thriller']",Drama,Mystery,Romance,Thriller,,,,
125,Michael Jordan to the Max,https://www.boxofficemojo.com/release/rl1348306433/?ref_=bo_yld_table_126,2000,"['Documentary', 'Sport']",Documentary,Sport,,,,,,
126,Supernova,https://www.boxofficemojo.com/release/rl4134700545/?ref_=bo_yld_table_127,2000,"['Horror', 'Sci-Fi', 'Thriller']",Horror,Sci-Fi,Thriller,,,,,
127,Dungeons & Dragons,https://www.boxofficemojo.com/release/rl3645801985/?ref_=bo_yld_table_128,2000,"['Action', 'Adventure', 'Fantasy']",Action,Adventure,Fantasy,,,,,
128,The Ladies Man,https://www.boxofficemojo.com/release/rl811566593/?ref_=bo_yld_table_129,2000,['Comedy'],Comedy,,,,,,,
129,The Little Vampire,https://www.boxofficemojo.com/release/rl794920449/?ref_=bo_yld_table_130,2000,"['Adventure', 'Comedy', 'Family', 'Fantasy']",Adventure,Comedy,Family,Fantasy,,,,
130,Dr. T & the Women,https://www.boxofficemojo.com/release/rl2538505729/?ref_=bo_yld_table_131,2000,"['Comedy', 'Drama', 'Romance']",Comedy,Drama,Romance,,,,,
131,The Crew,https://www.boxofficemojo.com/release/rl1414366721/?ref_=bo_yld_table_132,2000,"['Comedy', 'Crime']",Comedy,Crime,,,,,,
132,Everest,https://www.boxofficemojo.com/release/rl508593665/?ref_=bo_yld_table_133,2000,"['Documentary', 'Short']",Documentary,Short,,,,,,
133,Angela's Ashes,https://www.boxofficemojo.com/release/rl3611526657/?ref_=bo_yld_table_134,2000,['Drama'],Drama,,,,,,,
